epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,755.298,0.96776,0.77653,1.30578,0.8375,0.80974,0.89156,0.5668,1.34722,0.82325,1.8395,0.000990365,0.000990365,0.000990365
43,771.956,0.97652,0.76881,1.31485,0.64817,0.80997,0.81163,0.52313,1.3331,1.04101,1.80766,0.000973861,0.000973861,0.000973861
44,788.662,0.94125,0.76679,1.28586,0.80789,0.81475,0.86529,0.52811,1.32001,0.89488,1.83233,0.000957358,0.000957358,0.000957358
45,805.381,0.92925,0.7489,1.27168,0.71971,0.7743,0.82978,0.51208,1.38862,0.94598,1.90228,0.000940855,0.000940855,0.000940855
46,822.035,0.93806,0.7352,1.28106,0.81582,0.6616,0.81276,0.51079,1.39011,1.05641,1.8788,0.000924352,0.000924352,0.000924352
47,838.56,0.93713,0.72443,1.27999,0.83472,0.81868,0.87741,0.5667,1.27207,0.84604,1.80617,0.000907848,0.000907848,0.000907848
48,855.12,0.91826,0.73447,1.27983,0.7446,0.79527,0.8558,0.5343,1.41629,1.0577,1.93044,0.000891345,0.000891345,0.000891345
49,871.639,0.90782,0.70174,1.27195,0.81815,0.82939,0.88985,0.54607,1.35301,0.89557,1.83589,0.000874842,0.000874842,0.000874842
50,888.299,0.88234,0.69752,1.25386,0.7299,0.75024,0.78571,0.49859,1.31154,1.14098,1.84718,0.000858338,0.000858338,0.000858338
51,904.877,0.88354,0.70501,1.24479,0.7812,0.8276,0.84725,0.54105,1.37741,0.91148,1.90391,0.000841835,0.000841835,0.000841835
52,921.617,0.87888,0.6922,1.25477,0.75089,0.78912,0.833,0.53715,1.33283,0.88343,1.876,0.000825332,0.000825332,0.000825332
53,938.278,0.86157,0.65284,1.23152,0.72894,0.79487,0.84074,0.52642,1.39035,0.88308,1.88494,0.000808828,0.000808828,0.000808828
54,954.876,0.86673,0.67365,1.24037,0.80997,0.70636,0.81847,0.51888,1.30536,1.0294,1.80672,0.000792325,0.000792325,0.000792325
55,971.536,0.85676,0.66395,1.22884,0.84646,0.86666,0.88291,0.52593,1.38718,0.86709,1.95167,0.000775822,0.000775822,0.000775822
56,988.239,0.84119,0.68203,1.22419,0.79564,0.8392,0.88016,0.56016,1.28709,0.79698,1.81765,0.000759318,0.000759318,0.000759318
57,1004.93,0.84453,0.64507,1.2321,0.82155,0.78238,0.86816,0.55782,1.24872,0.93816,1.7887,0.000742815,0.000742815,0.000742815
58,1021.59,0.85855,0.65731,1.24068,0.87302,0.84122,0.87273,0.58358,1.22418,0.85505,1.75941,0.000726312,0.000726312,0.000726312
59,1038.32,0.82315,0.64156,1.20815,0.83108,0.79745,0.86838,0.55812,1.26956,0.91512,1.84616,0.000709809,0.000709809,0.000709809
60,1055.02,0.83248,0.63664,1.21701,0.73522,0.86881,0.85686,0.55881,1.32537,0.96051,1.89818,0.000693305,0.000693305,0.000693305
61,1071.55,0.78497,0.60383,1.18222,0.86975,0.83434,0.89136,0.56371,1.37894,0.81728,2.0004,0.000676802,0.000676802,0.000676802
62,1088.15,0.8138,0.60047,1.19774,0.85322,0.8277,0.89208,0.58038,1.29448,0.81392,1.86925,0.000660299,0.000660299,0.000660299
63,1104.75,0.79968,0.62128,1.19631,0.80466,0.8491,0.89258,0.55574,1.38332,0.88061,1.91491,0.000643795,0.000643795,0.000643795
64,1121.34,0.79055,0.6056,1.18426,0.84117,0.8279,0.88914,0.56781,1.3481,0.85337,1.92676,0.000627292,0.000627292,0.000627292
65,1137.89,0.78544,0.60078,1.1822,0.80686,0.84407,0.87028,0.57097,1.31799,0.78418,1.88038,0.000610789,0.000610789,0.000610789
66,1154.58,0.7783,0.57793,1.1757,0.83326,0.81728,0.86923,0.55176,1.38029,0.83614,1.98626,0.000594286,0.000594286,0.000594286
67,1171.34,0.7525,0.57912,1.16451,0.89777,0.77276,0.8864,0.56479,1.37477,0.87049,2.00294,0.000577782,0.000577782,0.000577782
68,1187.93,0.73642,0.55189,1.15526,0.7474,0.88355,0.88483,0.55677,1.41978,0.84448,2.03926,0.000561279,0.000561279,0.000561279
69,1204.43,0.73425,0.55352,1.16111,0.80169,0.81205,0.89524,0.57128,1.29915,0.80312,1.84343,0.000544776,0.000544776,0.000544776
70,1221,0.70732,0.53746,1.14327,0.87007,0.83925,0.88763,0.58255,1.28643,0.84095,1.86187,0.000528272,0.000528272,0.000528272
71,1237.63,0.72762,0.56573,1.15661,0.87426,0.84374,0.89743,0.60603,1.27401,0.78808,1.89641,0.000511769,0.000511769,0.000511769
72,1254.27,0.70797,0.55325,1.14633,0.83585,0.86029,0.89306,0.55794,1.28768,0.85222,1.88886,0.000495266,0.000495266,0.000495266
73,1270.96,0.69676,0.5377,1.13583,0.78381,0.81957,0.86463,0.55866,1.33985,0.93412,1.94553,0.000478762,0.000478762,0.000478762
74,1287.73,0.69769,0.52832,1.13572,0.8654,0.79512,0.86564,0.57539,1.30401,0.86054,1.92783,0.000462259,0.000462259,0.000462259
75,1304.38,0.69872,0.51839,1.13311,0.76274,0.87291,0.87441,0.56448,1.31799,0.9444,1.90748,0.000445756,0.000445756,0.000445756
76,1320.96,0.68018,0.51426,1.12006,0.76164,0.86784,0.87463,0.57585,1.28177,0.88121,1.86699,0.000429253,0.000429253,0.000429253
77,1337.73,0.69074,0.52087,1.13873,0.78137,0.76943,0.84108,0.55096,1.32337,0.95378,1.93195,0.000412749,0.000412749,0.000412749
