epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,405.679,0.84975,0.70137,1.20871,0.65551,0.78874,0.78603,0.46001,1.46792,1.13245,1.99852,0.00121591,0.00121591,0.00121591
43,415.103,0.85559,0.67751,1.2251,0.66649,0.64701,0.73445,0.43839,1.51094,1.25337,1.9657,0.00120491,0.00120491,0.00120491
44,424.444,0.8499,0.68249,1.21573,0.76956,0.73205,0.79336,0.47667,1.39304,1.08445,1.89231,0.00119391,0.00119391,0.00119391
45,433.848,0.82994,0.65466,1.1967,0.75889,0.71847,0.81892,0.50558,1.35858,1.05138,1.85853,0.0011829,0.0011829,0.0011829
46,443.36,0.84969,0.66141,1.22027,0.76053,0.80308,0.79615,0.48219,1.43067,1.05559,1.91414,0.0011719,0.0011719,0.0011719
47,452.849,0.84382,0.64897,1.21015,0.6759,0.75056,0.78197,0.45066,1.48763,1.11309,1.96126,0.0011609,0.0011609,0.0011609
48,462.34,0.82714,0.64899,1.2076,0.77745,0.8522,0.86546,0.52348,1.34423,0.92878,1.86205,0.0011499,0.0011499,0.0011499
49,472.085,0.80909,0.63469,1.20066,0.72004,0.76545,0.8006,0.47678,1.37366,1.08846,1.8766,0.00113889,0.00113889,0.00113889
50,481.864,0.79421,0.63554,1.19001,0.75586,0.77449,0.84276,0.49744,1.41072,1.07922,1.96083,0.00112789,0.00112789,0.00112789
51,491.707,0.82846,0.65444,1.20295,0.71656,0.70636,0.79695,0.48469,1.42828,1.25033,1.94143,0.00111689,0.00111689,0.00111689
52,501.249,0.80684,0.62551,1.2007,0.71789,0.6712,0.75578,0.4454,1.53773,1.20014,2.01342,0.00110589,0.00110589,0.00110589
53,510.684,0.77915,0.60475,1.16839,0.74737,0.86205,0.88251,0.54325,1.40291,0.97609,1.95464,0.00109489,0.00109489,0.00109489
54,520.021,0.80578,0.62529,1.19896,0.85891,0.74026,0.84593,0.51895,1.36625,1.01711,1.89181,0.00108388,0.00108388,0.00108388
55,529.354,0.78582,0.61034,1.1707,0.75153,0.7665,0.81284,0.48082,1.41359,1.14979,1.95618,0.00107288,0.00107288,0.00107288
56,538.816,0.7655,0.60381,1.16379,0.85467,0.79336,0.86578,0.51876,1.40656,1.00077,1.93021,0.00106188,0.00106188,0.00106188
57,548.253,0.7823,0.59797,1.1766,0.72965,0.74437,0.81475,0.4799,1.44982,1.16847,1.95491,0.00105088,0.00105088,0.00105088
58,557.637,0.78334,0.59541,1.17808,0.85486,0.72213,0.85558,0.52564,1.35109,0.97672,1.8698,0.00103987,0.00103987,0.00103987
59,567.188,0.75171,0.59583,1.15641,0.83739,0.76606,0.8325,0.51127,1.37083,1.037,1.8721,0.00102887,0.00102887,0.00102887
60,576.596,0.76778,0.58398,1.16553,0.71359,0.78238,0.7968,0.48718,1.43933,1.04429,1.96874,0.00101787,0.00101787,0.00101787
61,586.424,0.73476,0.58018,1.14702,0.75672,0.86684,0.86667,0.51815,1.38874,0.91742,1.90896,0.00100687,0.00100687,0.00100687
62,596.69,0.73267,0.57254,1.13785,0.74524,0.87499,0.87086,0.56425,1.34196,1.08383,1.8766,0.000995866,0.000995866,0.000995866
63,606.696,0.74677,0.59976,1.1533,0.74556,0.75513,0.8291,0.50671,1.48008,1.12506,2.00843,0.000984864,0.000984864,0.000984864
64,616.678,0.72366,0.58208,1.13588,0.80897,0.79595,0.87565,0.543,1.40108,0.9603,1.91005,0.000973861,0.000973861,0.000973861
65,626.398,0.72698,0.55647,1.14318,0.80682,0.80603,0.86844,0.54501,1.35991,0.88532,1.87626,0.000962859,0.000962859,0.000962859
66,636.276,0.72612,0.5725,1.14917,0.8634,0.76079,0.88442,0.53892,1.34976,0.87445,1.86097,0.000951857,0.000951857,0.000951857
67,646.137,0.7178,0.55514,1.1372,0.73283,0.79549,0.82835,0.51284,1.39457,0.99179,1.87707,0.000940855,0.000940855,0.000940855
68,656.072,0.71222,0.5561,1.12922,0.83296,0.79026,0.84247,0.49198,1.47654,0.9548,2.03305,0.000929853,0.000929853,0.000929853
69,665.881,0.67733,0.51821,1.11885,0.87566,0.80171,0.86389,0.5328,1.33638,0.93814,1.87115,0.00091885,0.00091885,0.00091885
70,675.558,0.67815,0.52662,1.11619,0.86365,0.8491,0.90072,0.53378,1.40397,0.86339,1.94356,0.000907848,0.000907848,0.000907848
71,685.044,0.69439,0.54333,1.13355,0.84869,0.81908,0.88799,0.56856,1.30464,0.88008,1.81337,0.000896846,0.000896846,0.000896846
72,694.599,0.68558,0.53777,1.11802,0.79799,0.86937,0.88902,0.55778,1.29073,0.87475,1.809,0.000885844,0.000885844,0.000885844
73,704.038,0.67866,0.52092,1.10877,0.78342,0.84063,0.8841,0.55801,1.33245,0.9999,1.87001,0.000874842,0.000874842,0.000874842
74,714,0.66069,0.52939,1.10594,0.83785,0.79675,0.8815,0.56256,1.28696,0.85557,1.83145,0.000863839,0.000863839,0.000863839
75,723.726,0.65924,0.501,1.09703,0.83664,0.83812,0.88669,0.57429,1.33613,0.96265,1.97872,0.000852837,0.000852837,0.000852837
76,733.413,0.63734,0.49077,1.08715,0.8116,0.72016,0.81946,0.49826,1.39301,1.1424,1.93319,0.000841835,0.000841835,0.000841835
77,742.783,0.65873,0.50609,1.10114,0.85077,0.83136,0.89034,0.562,1.31143,0.82876,1.91795,0.000830833,0.000830833,0.000830833
78,752.285,0.65969,0.49178,1.10487,0.83339,0.76683,0.84772,0.51768,1.32817,1.0304,1.8694,0.000819831,0.000819831,0.000819831
79,761.757,0.62839,0.49064,1.06737,0.78867,0.8522,0.87725,0.53522,1.29518,0.87368,1.88477,0.000808828,0.000808828,0.000808828
